SITE,PLOT,NEST,COV,YR,Bryo,Codes,BRC names
14,1,1,60,1971,,9201728,Rubus fruticosus agg.
14,1,1,0.5,1971,,910665,Dryopteris filix-mas
14,1,1,30,1971,,9101619,Pteridium aquilinum
14,1,2,0.5,1971,,200001583,Dryopteris dilatata/carthusiana
14,1,3,0.5,1971,,920687,Hyacinthoides non-scripta
14,1,3,0.5,1971,,92039,Agrostis stolonifera
14,1,1,5,2000,,910665,Dryopteris filix-mas
14,1,1,1,2000,,920841,Fraxinus excelsior (c)
14,1,1,5,2000,,200001583,Dryopteris dilatata/carthusiana
14,1,1,0.5,2000,,200001595,Viola riviniana/reichenbiana
14,1,1,1,2000,,920918,Geranium robertianum
14,1,1,1,2000,b,8201146,Eurhynchium sp.
14,1,1,1,2000,b,820382,Mnium hornum
14,1,1,1,2000,,200001537,Atrichum sp.
14,1,1,1,2000,,920513,Circaea lutetiana
14,1,2,5,2000,,9201728,Rubus fruticosus agg.
14,1,2,0.5,2000,,920695,Epilobium montanum
14,1,2,15,2000,,9202126,Urtica dioica
14,1,3,0.5,2000,,9201815,Sambucus nigra
14,1,4,0.5,2000,,920931,Glechoma hederacea
14,1,4,0.5,2000,,9201291,Mercurialis perennis
14,2,1,15,1971,,9101619,Pteridium aquilinum
14,2,1,0.5,1971,,9201728,Rubus fruticosus agg.
14,2,2,0.5,1971,,920952,Hedera helix
14,2,2,0.5,1971,,920841,Fraxinus excelsior (c)
14,2,3,0.5,1971,,9201495,Poa annua
14,2,3,0.5,1971,,92040,Agrostis capillaris
14,2,4,0.5,1971,,9201660,Ranunculus repens
14,2,4,0.5,1971,,920627,Deschampsia cespitosa
14,2,5,0.5,1971,,9201488,Plantago major
14,2,5,0.5,1971,,920984,Holcus mollis
14,2,5,0.5,1971,,9204446,Quercus seedling/sp
14,2,5,0.5,1971,,920925,Geum urbanum
14,2,5,0.5,1971,,9204446,Quercus seedling/sp
14,2,5,0.5,1971,,9201729,Rubus idaeus
14,2,2,1,2000,,9201610,Prunella vulgaris
14,2,2,0.5,2000,,9201748,Rumex obtusifolius
14,2,2,10,2000,,9202126,Urtica dioica
14,2,2,1,2000,,9201660,Ranunculus repens
