Site,Plot,SlopeYr1,AspectYr1,AspectYr2,Yr1NVC,Yr2NVC,pHYr1,pHYr2,SOMYr1,SOMYr2,MSG,LiveBasalAreaYr1,LiveBasalAreaYr2,
49,1,32,70,90,OV27,W10c,4.1,4.477,24.635,16.2556,5,0.164933614,0.323976742,
49,2,15,80,45,W10c,OV27d,4.3,3.911,12.817,25.11224,5,0.441786467,0.561559687,
49,3,27,60,135,OV27d,W10a,3.7,3.54,19.647,32.89272,5,0.704894852,1.494220006,
49,4,16,60,45,W10d,W10a,3.8,3.568,21.43,22.76719,5,0.164933614,1.291979979,
49,5,32,90,90,W10a,OV27d,3.6,4.37,19.858,58.80009,5,0.702931356,0.074612826, 
49,6,40,80,45,W16b,OV27d,3.9,3.955,24.801,20.28111,5,0.960149255,1.73180295,
49,7,35,60,90,W16b,OV27d,3.7,3.665,34.406,28.88469,5,0.188495559,1.668971097,
49,8,7,94,90,W10d,W10d,4.1,3.58,24.401,23.34495,3,0.765763209,0.323976742,
49,9,26,112,90,W10a,W10c,4,3.89,23.833,29.94608,3,0.139408174,1.975276381,
49,10,18,78,90,W10c,OV27d,4.3,3.772,24.861,27.34154,5,1.266454538,0.261144889,
49,11,35,58,,W21,W21,4.3,4.224,27.773,18.75939,3,2.417062848,0.536034247,
49,12,4,68,90,W6,W21,5.9,4.474,34.26,49.81292,5,1.344994355,0.589048623,
49,13,4,328,,W6,W6,6.5,3.769,78.047,27.16504,5,1.005309649,1.600248758,
49,14,3,292,0,W6,W6,4.9,6.282,68.141,14.25429,8,0.954258769,0.249363917,
49,15,4,131,90,W6,W21,5.3,6.382,,33.80174,5,1.237002107,0.02552544,
49,16,4,267,,W6,W6,6.6,6.569,65.745,53.89515,5,0.253290908,1.050470044,
50,1,20,10,,W10a,OV27d,4.8,4.7,20.717,12.93345,5,6.556111169,2.051852702,
50,2,7,20,,W10,W10,5.3,5.195,12.648,6.198223,5,2.095049601,1.786780822,
50,3,20,50,,W8d,W10,5.5,5.032,8.96,15.04786,5,2.385646921,3.139629158,
50,4,12,50,,W10,W10c,5.1,4.829,14.459,10.94644,5,2.580032967,0.909098374,
50,5,0,0,,W16,MG1b,4.4,5.78,30.228,10.86776,5,1.596321767,,
50,6,10,60,,W10,MG7A,4.6,6.007,24.996,10.51018,5,1.908517537,,
50,7,14,80,,W10,OV21,4.9,5.812,20.072,12.29325,5,1.150608309,,
50,8,23,36,,W10,W10c,4.8,6.064,16.729,13.51375,5,1.439242134,0.237582944,
50,9,10,28,,W10,W15a,5.6,4.991,18.522,7.272179,3,0.899280897,7.033240553,
50,10,25,86,,W10,W10a,4.7,4.485,16.451,13.46611,5,2.88241126,3.133738672,
50,11,21,48,,W10d,W10a,4.4,4.763,29.005,12.50895,5,3.563744166,1.773036354,
50,12,11,86,,W10c,W6,4.5,6.083,16.675,16.19554,5,4.78111132,1.486366024,
50,13,18,62,,W10,W10,4.3,4.458,33.01,14.77493,5,1.961531913,1.68075207,
50,14,18,110,,W10,W10,4.8,4.912,19.55,15.71377,5,2.132356014,2.839214361,
50,15,25,60,,W7,W10,6,5.973,33.976,11.36071,5,0.877682448,4.031056074,
50,16,4,130,,W10d,W10d,3.7,4.627,65.747,16.82526,3,1.246819584,2.142173491,
51,1,21,150,,W10d,W15a,4.3,4.033,7.285,25.8,5,1.297870465,1.386227758,
51,2,30,100,,OV27d,W21,4.8,4.97,11.845,11.9,5,0.681332907,0.979784209,
51,3,30,90,,OV27d,W21,4.4,4.667,14.213,19.6,5,0.773617191,1.168279768,
51,4,60,90,,OV27d,W21,5,4.599,11.051,13.8,5,0.913025365,1.456913593,
51,5,13,40,,OV27d,OV27d,4.6,4.838,17.047,17.5,5,0.557632696,1.774999849,
51,6,15,80,,OV27d,W21,4.8,4.405,13.694,18.3,3,0.977820713,1.178097245,
51,7,7,50,,OV27d,OV27d,5,4.617,11.666,16.3,5,1.896736565,2.020436775,
51,8,34,70,,W21,OV27d,4.4,4.702,14.042,15.8,5,0.537997742,1.333213382,
51,9,34,110,,OV27d,W21,4.1,3.978,12.19,15.9,5,2.530945582,1.374446786,
51,10,22,100,,W10a,W21,4.1,4.834,16.545,16.2,5,2.387610417,2.220713307,
51,11,29,120,,OV27d,OV27d,4.2,4.718,11.376,14.6,5,1.127046364,1.843722189,
51,12,24,120,,W10a,OV27d,4.3,4.707,8.535,13.1,5,1.828014225,1.541343896,
51,13,19,140,,OV27d,W8e,4.9,4.495,12.445,11,3,1.291979979,1.358738823,
51,14,21,120,,OV27d,W21,5.2,3.912,14.166,29,5,1.317505419,2.038108234,
51,15,10,140,,OV27,OV27d,5.2,4.162,15.72,19,3,0.327903733,3.310453259,
51,16,6,130,,W21,W21,4.8,4.065,13.74,23.9,3,3.498948818,1.755364895,
52,1,16,91,,W4,W16b,4,3.7,12.186,20.9,5,0.506581815,1.036725576,
52,2,5,55,,W4,W16b,4.3,3.9,12.092,17,6,0.441786467,1.582577299,
52,3,17,10,,W16b,W16b,3.9,3.9,18.044,28.3,5,0.343611696,0.944441291,
52,4,20,18,,W10a,W16b,3.8,3.9,14.994,30,5,0.003926991,0.606720081,
52,5,32,30,,W16,W16b,4.1,4,18.122,22.7,5,0.117809725,0.526216769,
52,6,19,70,,W10c,W16b,4.1,3.9,12.357,15.3,5,0.164933614,0.561559687,
52,7,20,100,,W10c,W10,4.1,3.8,12.338,21.6,8,0.557632696,2.6939157,
52,8,18,25,,W10,W16b,4.2,3.9,15.971,13.8,5,0.522289779,0.594939109,
52,9,13,35,,W16b,W10d,3.8,4.6,23.952,15.4,5,0.214021,0.91106187,
52,10,17,35,,W16,W16b,4.1,3.8,13.162,17.2,5,0.561559687,2.228567289,
52,11,23,42,,W10a,W16b,4.3,4.2,18.9,13.7,5,0.263108385,0.563523182,
52,12,21,0,,W10,W10c,4.4,4,15.539,14.3,5,0.655807466,0.541924733,
52,13,18,230,,W10a,W16b,4.1,4,17.539,16.1,5,0.618501054,0.549778714,
52,14,20,50,,W16b,W10a,3.8,3.7,19.721,16.9,5,0.469275403,0.787361659,
52,15,30,55,,W10a,W10a,3.9,3.8,16.245,25.5,5,1.005309649,1.590431281,
52,16,21,80,,W10c,W16b,4.3,4.2,13.066,19.5,5,0.003926991,0.801106127,
53,1,4,189,150,W21a,W6,5.4,7.4,5.845,5.8,3,1.670934593,0.331830724,
53,2,19,128,140,MG10a,W6,4.2,6.4,4.139,11.4,3,0.441786467,0.001963495,
53,3,0,0,,W6,W6,6.5,7.2,70.983,75.2,3,1.476548547,1.077958979,
53,4,18,128,0,W6,OV27d,6.8,7.4,29.161,42.8,5,1.704314015,1.990984344,
53,5,37,162,90,OV27d,OV27d,3.8,4.4,12.588,5.8,5,3.206388002,2.334596041,
53,6,31,141,90,OV27d,OV27d,4.5,7.7,3.315,39.3,5,4.201880174,2.525055095,
53,7,0,0,90,OV27,OV27d,6.6,6.9,22.651,8.5,5,0.019634954,0.581194641,
53,8,11,220,180,W21,W6,4.1,4,8.801,15.4,5,3.487167845,3.89557489,
53,9,2,85,,S28b,S5,5.9,5.9,7.497,14.1,5,0.070685835,,
53,10,7,101,100,W21,W21,4.8,6.4,10.536,10.7,5,3.575525139,2.415099352,
53,11,3,100,,W6,W6,6.2,4,35.746,75.2,5,2.93346214,2.536836068,
53,12,0,0,145,W6,OV27d,4.8,6.8,61.009,33.5,5,0.355392669,1.829977721,
53,13,0,0,,W6,W6,6.5,6.1,48.798,80.4,5,1.256637061,2.448478774,
53,14,0,0,90,W6,W6,6.4,6.6,62.413,56.3,5,1.841758693,0.620464549,
53,15,0,0,90,W6,W6,6,6.8,76.21,51.8,5,0.612610567,0.824668072,
53,16,0,0,65,W6,W6,6.1,7.4,23.555,16.6,5,1.674861583,1.386227758,
54,1,13,72,45,W10c,W10,4,4.213,23.182,12.1132,5,1.592394776,0.600829595,
54,2,22,80,45,W10d,OV27,4.3,6.94,22.563,9.14766,6,5.792311455,0.001963495,
54,3,12,304,0,W10d,W10d,4.4,4.279,21.991,10.42625,5,1.506000978,0.214021,
54,4,17,276,270,W10c,OV27d,5,4.039,24.17,30.45264,3,1.545270886,0.69704087,
54,5,12,93,90,W10d,W10d,4.3,3.62,34.379,14.6933,5,0.922842842,0.946404787,
54,6,15,48,0,W10d,W10c,4.9,3.983,16.541,12.26003,5,3.080724296,0.765763209,
54,7,26,264,225,W10d,W10d,4.6,3.879,24.472,71.41005,5,1.521708942,0.180641578,
54,8,10,356,90,W10d,W22,4.5,3.457,25.027,22.03821,5,1.41568019,,
54,9,10,2,0,W10d,W10a,3.9,3.681,56.614,17.80148,3,2.16377194,0.430005494,
54,10,14,108,180,W10d,W10a,4.2,4.903,19.441,19.56701,3,1.032798585,1.806415776,
54,11,10,192,180,W10d,W10d,4.8,4.521,15.323,15.74145,5,0.653843971,1.733766446,
54,12,12,231,180,W10d,W10a,4.3,4.328,32.427,16.2209,6,1.044579557,1.246819584,
54,13,5,129,90,W10d,W10c,4.2,4.294,23.97,16.08807,5,1.458877089,2.187333885,
54,14,10,212,90,W10,W14,4.6,4.413,26.205,14.06027,3,1.011200135,0.846266521,
54,15,10,196,190,W10c,W10a,5.1,4.083,18.514,14.65747,3,1.10741141,1.309651437,
54,16,10,192,180,W10d,W10d,4.3,4.055,24.535,15.57276,5,1.319468915,0.441786467,
55,1,24,190,180,MG1b,W21,7.1,5.798,13.304,13.42479,3,0.11977322,0.361283155,
55,2,3,90,45,W24,W8d,6.2,5.398,10.26,10.67703,3,0.027488936,0.653843971,
55,3,18,160,180,W21,W21,6.5,5.631,25.142,11.801,3,0.070685835,0.913025365,
55,4,0,0,0,W10,MG1b,7.7,6.832,10.218,10.56187,3,0.182605073,0.070685835,
55,5,0,0,45,W24,W21,8,7.085,3.161,76.01305,3,0.09424778,0.092284284,
55,6,3,140,135,OV21,W8d,6.2,6.772,9.163,9.321823,3,,2.214822821,
55,7,75,300,0,CG4,W8d,7.4,6.589,9.656,15.63817,3,0.007853982,0.687223393,
55,8,13,340,135,W21,W10c,7.2,6.952,44.333,71.4301,3,1.409789703,0.333794219,
55,9,12,240,135,CG4,W21,6.1,7.083,9.657,29.74828,3,0.056941367,0.345575192,
55,10,2,120,135,MG10a,W8d,6.2,7.256,9.251,60.23736,3,,0.031415927,
55,11,24,210,135,W8d,W21,6.5,6.539,24.833,31.50713,3,0.877682448,0.392699082,
55,12,35,150,270,CG4,W21,6.8,7.317,14.057,42.3941,3,0.04712389,0.268998871,
55,13,8,250,135,W8d,W21,6.2,6.417,10.764,15.13803,3,0.396626073,0.376991118,
55,14,20,200,315,W21,W21c,6.6,7.267,60.018,23.69104,3,0.009817477,2.580032967,
55,15,13,260,135,W8d,W21,6.7,5.467,34.346,13.15446,5,0.484983366,0.092284284,
55,16,10,170,0,OV27,W10c,6.4,5.848,10.808,12.41737,3,,5.022621255,
56,1,20,40,,W16b,W10c,4.5,4.928,18.751,9.256636,5,2.656609288,2.102903582,
56,2,8,30,,W10d,W10c,4.6,4.819,16.049,12.50841,5,2.020436775,2.352267499,
56,3,50,30,,W14,W16b,4.5,4.69,14.76,18.26829,5,3.779728661,1.663080611,
56,4,8,20,,W10,OV27d,4.9,4.792,11.267,10.81564,3,0.975857218,2.036144739,
56,5,8,220,,W15a,W8d,4.7,4.943,9.418,9.596329,3,3.948589266,2.729258618,
56,6,26,340,,W16b,W8d,5.2,6.139,8.309,6.849315,8,1.058324025,1.140790832,
56,7,10,280,,W21,OV27d,5,5.741,9.232,7.898629,3,0.644026494,1.886919088,
56,8,25,10,,OV27d,OV27d,4.8,6.048,18.096,9.213167,5,1.378373777,1.366592804,
56,9,33,50,,W10,W16b,4.7,4.389,8.088,15.88832,3,0.661697953,1.070104998,
56,10,13,60,,W10a,W10c,4,4.349,28.054,16.53166,5,1.806415776,0.979784209,
56,11,23,20,,W16b,W14,4.2,4.209,20.302,12.68365,3,1.425497667,2.42884382,
56,12,5,10,,U16c,W10c,4.5,4.277,19.744,13.04162,5,0.647953485,0.860010989,
56,13,33,190,,W10c,W10c,4.1,4.815,18.51,10.83969,3,0.502654825,2.452405765,
56,14,35,200,,W10c,W10c,4.5,4.344,7.805,7.683284,3,1.166316273,1.070104998,
56,15,12,70,,W6,W10a,4.1,4.119,31.201,16.61802,5,2.238384766,2.827433388,
56,16,20,0,,W8,OV27,4.9,4.494,7.517,12.58904,5,0.64991698,0.606720081,
57,1,11,236,270,W8d,W8d,4.7,4.471,7.744,6.210756,3,0.645989989,1.99687483,
57,2,4,1,270,MG9,W8d,6,6.177,12.859,8.624258,3,1.22718463,0.486946861,
57,3,3,276,270,W10,W8d,4.2,6.683,12.53,11.71894,3,0.909098374,1.812306262,
57,4,13,268,270,W10c,W10c,4.8,4.421,8.183,9.490909,3,0.750055246,5.464407722,
57,5,3,53,90,OV27,W6,5.4,6.042,14.157,13.92982,3,0.001963495,2.684098223,
57,6,22,52,90,W8e,W8d,5,5.741,8.403,8.655044,5,0.991565181,3.259402378,
57,7,4,40,0,MG7A,MG7A,6.3,6.417,7.694,9.281011,3,,,
57,8,18,155,135,W10,W21,6.8,6.757,7.651,2.666381,3,1.837831702,1.10348442,
57,9,15,106,135,W10d,W6,4.2,5.857,8.866,8.499508,3,0.545851724,0.657770962,
57,10,21,118,90,W8d,W8d,4.9,5.7,11.077,8.083286,3,0.877682448,1.392118245,
57,11,3,62,90,OV28,OV20,4.8,6.123,6.721,7.067977,3,,,
57,12,5,54,315,OV27,W21,4.5,4.575,7.633,9.728881,3,,1.824087234,
57,13,19,1,270,W8e,W6,6.8,6.642,6.795,3.326209,3,1.41568019,1.690569547,
57,14,16,352,180,W10c,W10c,4.9,5.203,9.639,6.265377,5,1.362665813,1.34695785,
57,15,17,296,270,W21,OV27d,5,5.694,8.546,8.120506,3,0.418224522,2.083268628,
57,16,19,306,270,W8e,W8d,5.4,4.676,6.644,7.774208,3,1.083849465,2.269800692,
58,1,2,130,90,W6,W6,4.8,5.302,5.376,8.500345,5,1.388191254,2.293362637,
58,2,12,180,,W10,W10,5.8,6.267,8.814,12.74995,5,2.513274123,2.424916829,
58,3,4,176,0,W10,W10,3.9,4.268,21.401,11.92152,3,0.783434668,3.151410131,
58,4,12,327,,W10,W4,6.5,4.883,10.233,15.27134,3,1.166316273,0.023561945,
58,5,18,162,180,W10,W10c,4.3,5.353,18.774,8.955403,3,2.468113728,2.206968839,
58,6,15,330,0,W10,W16,4.7,4.472,33.098,10.25382,8,1.398008731,1.317505419,
58,7,19,150,90,W10,W7,5.5,4.118,40.482,31.87524,3,1.843722189,2.454369261,
58,8,16,310,0,OV27,W10d,6.1,4.562,14.368,16.90868,3,1.272345025,2.542726554,
58,9,16,150,,W10,W16a,4.1,4.651,13.864,19.82657,8,1.833904712,3.375248607,
58,10,28,340,0,W10c,W16b,3.7,3.703,11.797,50.28635,5,1.003346154,3.881830423,
58,11,31,350,0,W10c,W10d,3.9,4.198,11.729,12.57123,5,1.256637061,1.405862712,
58,12,24,150,90,W10d,OV27,3.9,4.244,11.436,18.45561,8,1.627737694,3.765984193,
58,13,16,1,90,W10,W7,4.2,5.681,12.661,55.35629,3,1.272345025,2.464186738,
58,14,25,150,,W10,W10a,5.6,4.196,39.109,15.4026,8,1.307687942,1.784817326,
58,15,15,150,0,W4,W6,4.7,5.135,43.421,16.64604,5,1.219330649,0.571377164,
58,16,10,150,0,W6,OV27,5.5,6.481,4.63,9.669903,7,0.640099503,,
59,1,10,140,,W10,,4.4,,9.839,,5,3.357577149,,
59,2,18,318,,W14,MG10a,5,5.617,7.166,6.057446,5,1.517781951,,
59,3,9,321,,W6,W10d,4.7,5.38,4.855,4.210273,8,3.114103718,0.657770962,
59,4,3,242,,MG10a,W4,4.6,4.9,5.989,23.10984,8,4.728096944,0.070685835,
