Site,Alt_m,Area_ha,Perim_m,Easting,Northing,SSSI,AONB,NCR,NNR,LWT Reserve,SAC,RSPB,Any Des,No of Des,AW,PAWS,Any Anc
49,42.5625,18.67706992,3784.901264,1884,2338,0,0,0,0,0,0,0,0,0,1,0,1
50,124,13.56158267,2128.348707,2595,5822,1,0,0,0,0,0,0,1,1,1,0,1
51,109.5,9.42501258,2188.570764,2188,2215,0,0,0,0,0,0,0,0,0,1,0,1
52,191.5625,16.18931772,2087.952053,2648,2407,0,0,0,0,0,0,0,0,0,1,1,1
53,75,13.35838278,4702.494672,3509,3420,0,0,0,0,0,0,0,0,0,0,0,0
54,103.4375,7.970669264,1157.4305,3392,5015,0,0,0,0,0,0,0,0,0,0,0,0
55,226.0625,22.31570572,2465.491107,2594,2162,1,0,0,1,0,1,0,1,3,1,0,1
56,149.5625,21.71435794,4225.455344,3230,7487,1,0,0,0,0,0,0,1,1,1,0,1
57,143.1875,53.08094992,4296.845734,4704,5142,0,0,0,0,0,0,0,0,0,0,0,0
58,156.8125,17.20038523,4283.998861,3058,1885,1,0,0,0,0,0,0,1,1,1,0,1
59,9.25,52.46149046,6945.11773,2434,6896,1,0,0,0,0,0,0,1,1,0,0,1
60,48.125,16.27987583,1820.24667,3468,4762,1,0,1,0,0,0,0,1,2,1,0,1
61,105.6875,20.61640971,1970.471277,4135,5560,0,0,0,0,0,0,0,0,0,0,0,0
62,112.125,20.01703033,3020.358522,3410,4930,0,0,0,0,0,0,0,0,0,1,0,1
63,47.6875,5.371254194,1803.257973,4013,5612,0,0,0,0,0,0,0,0,0,0,0,0
64,184.125,14.32123374,2686.327725,3670,4890,0,0,0,0,0,0,0,0,0,1,0,1
65,53.125,10.00272477,1516.901355,3183,1431,0,0,0,0,0,0,0,0,0,0,0,0
66,80.3125,14.86101432,2875.092063,2403,2114,0,0,0,0,0,0,0,0,0,0,0,0
67,83.125,45.41089719,6417.270738,3527,5425,0,0,0,0,0,0,0,0,0,0,0,0
68,17.6875,4.836788476,1062.280594,2507,6851,1,0,0,0,0,0,0,1,1,0,0,1
69,99.75,20.04104907,3097.157084,4885,5040,0,0,0,0,0,0,0,0,0,0,0,0
70,95.375,14.70348755,3450.669472,4847,5140,0,0,0,0,0,0,0,0,0,0,0,0
71,69,12.5263151,1444.219174,3685,2137,0,0,0,0,0,0,0,0,0,1,0,1
72,94.375,14.50761869,1605.812439,3348,4885,0,0,0,0,0,0,0,0,0,0,0,0
73,118.5625,16.80375741,1758.861805,3334,4918,0,0,0,0,0,0,0,0,0,1,0,1
74,71.1875,311.6379448,11340.11341,1708,7847,1,0,0,0,0,1,0,1,2,1,0,1
75,180.5,16.98959892,3030.054644,2757,3683,1,0,0,0,0,0,0,1,1,1,0,1
76,258.5,97.71073069,5774.602885,2327,7281,1,0,0,0,0,0,0,1,1,1,0,1
77,186.8125,108.3968643,4976.124385,2975,8486,0,0,0,0,0,0,0,0,0,0,0,1
78,296.625,14.20407786,1700.462599,2685,2440,0,0,0,0,0,0,0,0,0,1,1,1
79,106.875,104.8382896,6479.057694,5245,1294,0,0,0,0,0,0,0,0,0,1,0,1
80,97.625,47.84037887,5301.252134,5643,1187,0,0,0,0,0,0,0,0,0,1,0,1
81,88.9375,12.20450345,2479.096687,2588,2239,0,0,0,0,0,0,0,0,0,0,0,0
