SITE,PLOT,NEST,COV,Amalgams,Yr_2
1,1,2,1,9205,1
1,1,,,200001537,1
1,1,4,3,92040,2
1,1,,,8201146,1
1,1,,,820395,1
1,1,4,0.5,920105,2
1,1,5,0.5,920541,2
1,1,3,0.5,920607,1
1,1,1,30,920687,2
1,1,2,0.5,920810,2
1,1,1,15,920816,1
1,1,5,0.5,920862,1
1,1,4,0.5,920868,2
1,1,5,0.5,920873,2
1,1,2,0.5,920878,1
1,1,5,0.5,920878,2
1,1,4,1,920983,2
1,1,1,35,920984,2
1,1,4,0.5,920984,1
1,1,,,8201147,1
1,1,1,8,9101619,2
1,1,1,90,9101619,1
1,1,1,5,9201188,1
1,1,5,0.5,9201305,2
1,1,,,9201484,2
1,1,1,0.5,9201611,2
1,1,1,50,9201728,1
1,1,2,1,9202010,2
1,1,2,5,9202010,1
1,1,1,2,920432,2
1,1,4,0.5,920432,1
1,1,3,0.5,200001595,1
1,1,3,0.5,200001595,1
1,1,,,9204445,1
1,1,2,0.5,9204445,1
1,1,,,9204446,2
1,1,,,9204446,1
1,1,5,0.5,9204446,2
1,2,4,0.5,92035,1
1,2,2,1,92046,1
1,2,,,8201146,1
1,2,,,8201146,1
1,2,,,820507,1
1,2,5,0.5,200001583,1
1,2,5,0.5,920105,2
1,2,,,920557,1
1,2,4,0.5,920557,2
1,2,,,920569,1
1,2,4,0.5,920607,1
1,2,5,0.5,920628,1
1,2,1,50,920687,2
1,2,3,5,920816,1
1,2,1,0.5,920873,2
1,2,4,0.5,920873,1
1,2,4,0.5,920983,2
1,2,1,25,920984,2
1,2,1,60,920984,1
1,2,5,0.5,8201146,2
1,2,1,65,9101619,1
1,2,3,0.5,9101619,2
1,2,1,5,9201188,1
1,2,2,0.5,9201207,1
1,2,5,0.5,9201259,2
1,2,3,0.5,9201296,2
1,2,4,0.5,9201305,2
1,2,2,0.5,9201705,1
1,2,1,30,9201728,1
1,2,1,40,9202010,2
1,2,2,5,9202010,1
1,2,5,0.5,9202012,2
1,2,,,9202063,2
1,2,4,0.5,9202063,2
1,2,4,0.5,9202122,2
1,2,4,0.5,200001595,1
1,2,4,0.5,200001595,1
1,2,,,9204445,1
1,2,3,0.5,9204445,1
1,2,,,9204446,2
1,2,,,9204446,1
1,2,3,0.5,200001583,2
1,3,,,9205,2
1,3,1,0.5,9205,2
1,3,1,1,92046,2
1,3,,,8201146,1
1,3,1,0.5,8201146,2
1,3,1,1,910665,2
1,3,,,920557,2
1,3,,,920557,1
1,3,1,10,920627,2
1,3,2,0.5,920640,2
1,3,3,0.5,920687,2
1,3,5,0.5,920810,2
1,3,3,0.5,920816,1
1,3,2,0.5,920868,2
1,3,2,0.5,920873,2
1,3,1,1,920983,2
1,3,1,80,920984,1
1,3,1,95,9101619,1
1,3,1,5,9201188,1
1,3,4,0.5,9201188,2
1,3,5,0.5,9201263,2
1,3,1,30,9201296,2
1,3,2,0.5,9201413,2
1,3,2,1,200001593,2
1,3,2,5,9201728,1
1,3,2,5,9201728,2
1,3,1,60,9202010,2
1,3,2,5,9202010,1
1,3,,,9204445,1
1,3,,,9204446,2
1,4,,,200001537,1
1,4,1,45,92040,1
1,4,3,1,92046,1
1,4,,,810814,1
1,4,5,0.5,820141,2
1,4,,,8201146,1
1,4,3,1,820351,2
1,4,5,0.5,820357,2
1,4,5,0.5,8201214,2
1,4,5,0.5,820599,2
1,4,2,0.5,200001583,1
1,4,3,0.5,200001583,2
1,4,1,0.5,920250,1
1,4,5,0.5,920412,2
1,4,,,920557,1
1,4,4,1,920627,1
1,4,4,0.5,920640,2
1,4,3,0.5,920687,2
1,4,3,1,920816,1
1,4,1,0.5,920878,1
1,4,2,0.5,920925,1
1,4,5,0.5,920983,2
1,4,1,45,920984,1
1,4,1,0.5,8101308,2
1,4,5,0.5,8201103,2
1,4,1,1,8201146,2
1,4,,,8201147,1
1,4,1,5,9101619,1
1,4,1,15,9101619,2
1,4,3,0.5,9201023,2
1,4,3,5,9201188,1
1,4,4,0.5,9201188,2
1,4,5,0.5,9201207,1
1,4,1,1,9201296,2
1,4,,,9201482,2
1,4,,,9201484,2
1,4,3,0.5,9204446,1
1,4,3,0.5,9204446,1
1,4,2,0.5,9201728,2
1,4,3,5,9201728,1
1,4,1,15,9202010,1
1,4,3,0.5,9202185,1
1,4,4,0.5,200001595,1
1,4,4,0.5,200001595,1
1,4,,,9204445,1
1,4,,,9204446,2
1,4,1,0.5,200001583,2
1,5,,,9205,2
1,5,1,0.5,9205,2
1,5,4,0.5,92035,1
1,5,2,0.5,92046,2
1,5,,,8201146,1
1,5,1,1,8201146,2
1,5,,,8201146,1
1,5,,,820351,1
1,5,1,0.5,820395,2
1,5,5,0.5,200001583,1
1,5,1,1,910665,2
1,5,2,1,910665,1
1,5,,,9204445,2
1,5,,,9204445,2
1,5,5,0.5,920421,2
1,5,,,920432,2
1,5,4,0.5,920569,1
1,5,3,0.5,920607,1
1,5,1,0.5,920627,2
1,5,3,1,920627,1
1,5,1,10,920687,2
1,5,3,1,920816,1
1,5,1,0.5,920841,2
1,5,5,0.5,920868,2
1,5,2,0.5,920873,2
1,5,1,40,920984,1
1,5,3,0.5,9201023,2
