SITE,Lccode,Propn,Buffer,Category,Bhname
1,H3BlWood,13.87395307,3500,W,Broad-leafwood
1,H3CfWood,2.397622614,3500,C,Coniferous woodland
1,H3Ahort1,16.33706589,3500,I,Arable & horticulture
1,H3Ahort2,31.06622202,3500,I,Arable & horticulture
1,H3ImpGrs,17.01592047,3500,I,Improved grassland
1,H3Setasd,2.534272718,3500,I,Setaside
1,H3NeutGr,5.327887224,3500,G,Neutral
1,H3CalcGr,4.059826277,3500,S,Calcareous
1,H3StWatr,0.206294345,3500,Aq,Standing water
1,H3InlRck,0.374333847,3500,S,Inland rock
1,H3BuUpAr,5.418768766,3500,I,"Built up areas, gardens"
1,H3ConUrb,1.387832753,3500,I,Continuous urban
1,H3BlWood,15.39223872,2500,W,Broad-leafwood
1,H3CfWood,2.95544047,2500,C,Coniferous woodland
1,H3Ahort1,21.76302102,2500,I,Arable & horticulture
1,H3Ahort2,32.65840641,2500,I,Arable & horticulture
1,H3ImpGrs,14.07426572,2500,I,Improved grassland
1,H3Setasd,1.371795776,2500,I,Setaside
1,H3NeutGr,3.695637109,2500,G,Neutral
1,H3CalcGr,3.274436061,2500,S,Calcareous
1,H3StWatr,0.089606244,2500,Aq,Standing water
1,H3InlRck,0.245200185,2500,S,Inland rock
1,H3BuUpAr,3.271988803,2500,I,"Built up areas, gardens"
1,H3ConUrb,1.207963487,2500,I,Continuous urban
1,H1BlWood,18.00683693,1500,W,Broad-leafwood
1,H1CfWood,6.955453827,1500,C,Coniferous woodland
1,H1Ahort1,19.23847011,1500,I,Arable & horticulture
1,H1Ahort2,33.803789,1500,I,Arable & horticulture
1,H1ImpGrs,9.6647226,1500,I,Improved grassland
1,H1Setasd,1.026116648,1500,I,Setaside
1,H1NeutGr,0.852462179,1500,G,Neutral
1,H1CalcGr,4.539064287,1500,S,Calcareous
1,H1StWatr,0.147685344,1500,Aq,Standing water
1,H1InlRck,0.599692001,1500,S,Inland rock
1,H1BuUpAr,2.547201176,1500,I,"Built up areas, gardens"
1,H1ConUrb,2.618505894,1500,I,Continuous urban
2,H3BlWood,23.60903147,3500,W,Broad-leafwood
2,H3CfWood,3.91199401,3500,C,Coniferous woodland
2,H3Ahort1,10.85161466,3500,I,Arable & horticulture
2,H3Ahort2,3.847543408,3500,I,Arable & horticulture
2,H3Ahort3,0.371013165,3500,I,Arable & horticulture
2,H3ImpGrs,32.68881557,3500,I,Improved grassland
2,H3CalcGr,10.62902743,3500,S,Calcareous
2,H3AcidGr,0.657347218,3500,S,Acid
2,H3InlRck,0.710958815,3500,S,Inland rock
2,H3BuUpAr,12.30472712,3500,I,"Built up areas, gardens"
2,H3ConUrb,0.41792713,3500,I,Continuous urban
2,H3BlWood,23.06717879,2500,W,Broad-leafwood
2,H3CfWood,1.636033102,2500,C,Coniferous woodland
2,H3Ahort1,14.02616682,2500,I,Arable & horticulture
2,H3Ahort2,4.59016192,2500,I,Arable & horticulture
2,H3Ahort3,0.693717134,2500,I,Arable & horticulture
2,H3ImpGrs,36.24976595,2500,I,Improved grassland
2,H3CalcGr,12.92568606,2500,S,Calcareous
2,H3AcidGr,0.136112252,2500,S,Acid
2,H3InlRck,0.494764407,2500,S,Inland rock
2,H3BuUpAr,5.533170113,2500,I,"Built up areas, gardens"
2,H3ConUrb,0.647243454,2500,I,Continuous urban
2,H1BlWood,24.48311847,1500,W,Broad-leafwood
2,H1CfWood,0.784915547,1500,C,Coniferous woodland
2,H1Ahort1,11.64346148,1500,I,Arable & horticulture
2,H1Ahort2,4.796261201,1500,I,Arable & horticulture
2,H1ImpGrs,39.25896536,1500,I,Improved grassland
2,H1CalcGr,14.01440879,1500,S,Calcareous
2,H1InlRck,0.125586488,1500,S,Inland rock
2,H1BuUpAr,3.440067592,1500,I,"Built up areas, gardens"
2,H1ConUrb,1.45321507,1500,I,Continuous urban
3,H3BlWood,12.49053482,3500,W,Broad-leafwood
3,H3CfWood,5.88989142,3500,C,Coniferous woodland
3,H3Ahort1,6.753227593,3500,I,Arable & horticulture
3,H3Ahort2,1.984288678,3500,I,Arable & horticulture
3,H3ImpGrs,10.40296313,3500,I,Improved grassland
3,H3NeutGr,2.513595669,3500,G,Neutral
3,H3CalcGr,0.186883894,3500,S,Calcareous
3,H3AcidGr,0.036008753,3500,S,Acid
3,H3DwShHe,0.621407173,3500,S,Dwarf shrub heath
3,H3InlRck,0.026188184,3500,S,Inland rock
3,H3BuUpAr,6.429207792,3500,I,"Built up areas, gardens"
3,H3ConUrb,1.861942979,3500,I,Continuous urban
3,H3LitSed,0.775966142,3500,Co,Littoral sediment
3,H3Sltmsh,0.278268688,3500,Co,Saltmarsh
3,H3BlWood,14.65397263,2500,W,Broad-leafwood
3,H3CfWood,1.799168675,2500,C,Coniferous woodland
3,H3Ahort1,8.527504943,2500,I,Arable & horticulture
3,H3Ahort2,1.946212363,2500,I,Arable & horticulture
3,H3ImpGrs,9.644931225,2500,I,Improved grassland
3,H3NeutGr,3.933596546,2500,G,Neutral
3,H3CalcGr,0.289880097,2500,S,Calcareous
3,H3AcidGr,0.070684341,2500,S,Acid
3,H3DwShHe,0.706239981,2500,S,Dwarf shrub heath
3,H3BuUpAr,7.065177529,2500,I,"Built up areas, gardens"
3,H3ConUrb,1.876051205,2500,I,Continuous urban
3,H3LitSed,0.744520976,2500,Co,Littoral sediment
3,H3Sltmsh,0.12867522,2500,Co,Saltmarsh
3,H1BlWood,29.07940197,1500,W,Broad-leafwood
3,H1CfWood,3.133878219,1500,C,Coniferous woodland
