Plot code,Description
1,Site no
2,Plot no
3,Recorder
4,Date
5,Slope          or  %
6,Aspect          Mag.
7,Cop. Stool
8,Singled cop.
9,Rec. cut. cop.
10,Stump hard.new
11,Stump hard.old
12,Stump con.new
13,Stump con.old
14,none
15,Alder
16,Ash
17,Aspen
18,Beech
19,Birch
20,Hawthorn
20,Wych elm
21,Hazel
22,Holly
23,Hornbeam
24,Lime
25,Oak
26,Rowan
27,Rhododendron
28,Sweet chestnut
29,Sycamore
31,Other hrwd.
32,Scots pine
33,Yew
34,Other con.
35,Fallen brkn
36,Fallen uprtd.
37,Leg.v.rotten
38,Fall. bnh.>10cm
39,Hollow tree
40,Rot hole
41,Stump<10cm
42,Stump >10cm
43,Bryo.base
44,Bryo.trunk
45,Bryo.branch
46,Lichen trunk
47,Lichen branch
48,Ferm
49,Ivy
50,Macrofungi
51,Stone.<5cm
52,Rocks 5-50cm
52,Boulders >50cm
54,Scree
55,Rock outcp.>5m
56,Cliff >5m
57,Rock ledges
58,Bryo.covd.rock
59,Gully
60,Rock piles
61,Exp.grav/sand
62,Exp.min.soil
63,Sml.pool <1m2
64,Pond 1-20 m2
65,Pon/lake>20 m2
66,Strm/riv.slow
67,Strm/riv. fast
68,Aquatic veg.
69,Spring
70,Marsh/bog
71,Dtch/drain dry
72,Dtch/drain wet
73,none
74,none
75,Gld.5-12m
76,Gld.>12m
77,Rky.knoll<12m
78,Rky.knoll>12m
79,Path <5m
80,Ride >5m
81,Track non prop
82,Track metalled
83,Wall dry
84,Wall mortared
85,Wall ruined
86,Embankment
87,Soil excav.
88,Quarry/mine
89,Rubbish dom.
90,Rubbish other
91,Blkthorn.thkt.
92,Hawthron thkt.
93,Rhodo.thkt.
94,Bramble clump
95,Nettle clump
96,Rose clump
97,W.herb clump
98,Umbel.clump
99,Bracken dense
100,Moss bank
101,Ferm bank
102,Grass bank
103,Leaf drift
104,Herb veg.>1m
105,Macfungi.soil
106,Macfungi.wood
107,Sheep
108,Cattle
109,Horse/pony
110,Pig
111,Red deer
112,Other deer
113,Rabbit
114,Badger
115,Fox
116,Mole
117,Squirrel
118,Anthill
119,Copse/bones
120,Spent ctrdgs.
121,none
122,none
