SITE,PLOT,Notes,PD_code
1,1,,38
1,1,,62
1,1,,79
1,1,,113
1,2,,7
1,2,,11
1,2,,31
1,2,,37
1,2,,42
1,2,,43
1,2,,44
1,2,,45
1,2,,46
1,2,,47
1,3,,7
1,3,,11
1,3,,37
1,3,,38
1,3,,42
1,3,,43
1,4,,13
1,4,,35
1,4,,38
1,4,,42
1,4,,105
1,5,,7
1,5,,11
1,5,,22
1,5,,29
1,5,,40
1,5,,42
1,5,,43
1,5,,114
1,6,,7
1,6,,13
1,6,,42
1,6,,80
1,6,,99
1,6,,114
1,7,,12
1,7,,22
1,7,,35
1,7,,38
1,7,,41
1,7,,43
1,7,,105
1,7,,106
1,7,,114
1,8,,16
1,8,,20
1,8,,21
1,8,,62
1,8,,94
1,8,,113
1,9,,8
1,9,,16
1,9,,43
1,9,,80
1,10,,7
1,10,,11
1,10,,16
1,10,,31
1,10,,42
1,10,,43
1,10,,62
1,10,,94
1,10,,113
1,11,,13
1,11,,19
1,11,,25
1,11,,43
1,11,,44
1,11,,62
1,11,,114
1,12,,7
1,12,,16
1,12,,38
1,12,,43
1,13,,13
1,13,,38
1,13,,41
1,13,,42
1,13,,43
1,13,,62
1,13,,79
1,13,,105
1,13,,113
1,13,,114
1,14,,35
1,14,,38
1,14,,43
1,14,,50
1,15,,13
1,15,,18
1,15,,20
1,15,,22
1,15,,36
1,16,,9
1,16,,103
1,16,,112
2,1,,7
2,1,,9
2,1,,10
2,1,,11
2,1,,16
2,1,,21
2,1,,22
2,1,,43
2,1,,117
2,2,,7
2,2,,13
2,2,,18
2,2,,22
2,2,,35
2,2,,37
2,2,,42
2,2,,43
2,2,,100
2,2,,117
2,3,,9
2,3,,10
2,3,,16
2,3,,20
2,3,,21
2,3,,22
2,3,,42
2,3,,43
2,3,,113
2,3,,120
2,4,,11
2,4,,13
2,4,,16
2,4,,25
2,4,,26
2,4,,36
2,4,,37
2,4,,38
2,4,,43
2,4,,112
2,5,,7
2,5,,16
2,5,,22
2,5,,35
2,5,,37
2,5,,38
2,5,,43
2,5,,50
2,6,,7
2,6,,16
2,6,,22
2,6,,33
2,6,,37
2,6,,38
2,6,,43
2,6,,50
2,6,,94
2,6,,100
2,6,,103
2,6,,113
2,6,,117
2,7,,9
2,7,,10
2,7,,11
2,7,,16
2,7,,19
2,7,,22
2,7,,36
2,7,,38
2,7,,42
2,7,,43
2,7,,49
2,7,,66
2,7,,113
2,8,,7
2,8,,22
2,8,,26
2,8,,36
2,8,,37
2,8,,38
2,8,,43
2,8,,46
2,8,,113
2,8,,120
2,9,,7
2,9,,36
2,9,,37
2,9,,38
2,9,,42
2,9,,43
2,9,,112
2,10,,7
2,10,,22
2,10,,35
2,10,,37
2,10,,38
2,10,,41
2,10,,43
2,10,,46
2,10,,52
2,10,,112
2,11,,7
2,11,,21
2,11,,22
2,11,,26
2,11,,36
2,11,,37
2,11,,42
2,11,,43
2,11,,66
2,11,,112
2,11,,114
2,11,,115
2,11,,117
2,11,Rodents,121
2,12,,7
2,12,,18
2,12,,35
2,12,,36
2,12,,38
2,12,,43
2,12,,49
2,12,,72
2,12,,95
2,12,,112
2,13,,18
2,13,,19
2,13,,25
2,13,,26
2,13,,31
2,13,,38
2,13,,109
2,14,,19
2,14,,22
2,14,,25
2,14,,31
2,14,,33
2,14,,36
2,14,,38
2,14,,43
2,14,,50
2,14,,95
2,14,,99
2,14,,104
2,14,,117
2,15,,7
2,15,,22
2,15,,35
2,15,,37
2,15,,38
2,15,,41
2,15,,43
2,15,,50
2,15,,80
2,15,,112
2,16,,22
2,16,,27
2,16,,33
2,16,,36
2,16,,38
2,16,,43
2,16,,75
2,16,,79
2,16,,94
2,16,,115
3,1,7 Cop. Stool,7
3,1,35 Fallen brkn,35
3,1,40 Rot hole,40
3,1,41 Stump<10cm,41
3,1,43 Bryo.base,43
3,1,44 Bryo.trunk,44
3,1,46 Lichen trunk,46
3,1,51 Stone.<5cm,51
3,1,52 Rocks 5-50cm,52
3,1,54 Scree,54
3,1,106 Macfungi.wood,106
3,1,107 Sheep,107
3,2,7 Cop. Stool,7
3,2,10 Stump hard.new,10
3,2,35 Fallen brkn,35
3,2,38 Fall. bnh.>10cm,38
3,2,42 Stump >10cm,42
3,2,43 Bryo.base,43
3,2,46 Lichen trunk,46
3,2,47 Lichen branch,47
3,2,49 Ivy,49
3,2,51 Stone.<5cm,51
3,2,52 Rocks 5-50cm,52
3,2,54 Scree,54
3,2,58 Bryo.covd.rock,58
3,2,62 Exp.min.soil,62
3,2,76 Gld.>12m,76
3,2,79 Path <5m,79
3,2,85 Wall ruined,85
3,2,86 Embankment,86
3,2,95 Nettle clump,95
3,2,104 Herb veg.>1m,104
3,2,112 Other deer,112
3,3,7 Cop. Stool,7
3,3,9 Rec. cut. cop.,9
3,3,22 Holly,22
3,3,27 Rhododendron,27
3,3,41 Stump<10cm,41
3,3,43 Bryo.base,43
3,3,44 Bryo.trunk,44
3,3,46 Lichen trunk,46
3,3,51 Stone.<5cm,51
