"","Site","Pos_Hetero_Index"
"1",1,20
"2",2,18
"3",3,23
"4",4,22
"5",5,21
"6",6,29
"7",7,21
"8",8,7
"9",9,10
"10",10,26
"11",11,24
"12",12,17
"13",13,12
"14",14,22
"15",15,14
"16",16,19
"17",17,21
"18",18,17
"19",19,25
"20",20,25
"21",21,23
"22",22,18
"23",23,97
"24",24,13
"25",26,24
"26",27,20
"27",28,17
"28",29,22
"29",30,23
"30",31,19
"31",32,27
"32",33,15
"33",34,21
"34",35,28
"35",36,27
"36",37,17
"37",38,22
"38",39,34
"39",40,29
"40",41,15
"41",42,30
"42",43,38
"43",44,17
"44",45,11
"45",46,9
"46",47,23
"47",48,13
"48",49,12
"49",50,26
"50",51,15
"51",52,16
"52",53,78
"53",54,32
"54",55,8
"55",56,17
"56",57,14
"57",58,14
"58",59,19
"59",60,26
"60",61,9
"61",62,32
"62",63,13
"63",64,30
"64",65,20
"65",66,32
"66",67,36
"67",68,17
"68",69,18
"69",70,14
"70",71,17
"71",72,29
"72",73,32
"73",74,24
"74",75,11
"75",76,30
"76",77,19
"77",78,10
"78",79,18
"79",80,18
"80",81,20
"81",82,16
"82",83,17
"83",84,29
"84",85,16
"85",86,17
"86",87,12
"87",88,23
"88",89,22
"89",90,28
"90",91,22
"91",92,17
"92",93,13
"93",94,22
"94",95,28
"95",96,9
"96",97,12
"97",98,20
"98",99,12
"99",100,20
"100",101,15
"101",102,18
"102",103,23
