SITE,SD_code,Notes,Recorders
3,20,,
3,22,,
3,32,,
3,33,,
3,36,,
3,39,,
3,40,,
3,41,,
3,42,,
3,43,,
3,48,,
3,49,,
3,50,,
3,51,,
3,52,,
3,55,,
3,57,,
3,58,,
3,59,,
3,61,,
3,62,,
3,63,,
3,64,,
3,65,,
3,69,,
3,73,,
3,74,,
3,75,,
3,76,,
3,77,,
3,79,,
3,80,,
3,84,,
3,105,,
3,107,,
3,108,,
3,114,,
3,116,,
3,121,,
1,5,,KAC/PJW
1,6,,KAC/PJW
1,8,,KAC/PJW
1,9,,KAC/PJW
1,13,,KAC/PJW
1,14,,KAC/PJW
1,15,,KAC/PJW
1,17,,KAC/PJW
1,21,,KAC/PJW
1,25,,KAC/PJW
1,30,,KAC/PJW
1,31,,KAC/PJW
1,32,,KAC/PJW
1,33,,KAC/PJW
1,34,,KAC/PJW
1,35,,KAC/PJW
1,36,,KAC/PJW
1,39,,KAC/PJW
1,43,,KAC/PJW
1,45,,KAC/PJW
1,51,,KAC/PJW
1,52,,KAC/PJW
1,53,,KAC/PJW
1,54,,KAC/PJW
1,55,,KAC/PJW
1,57,,KAC/PJW
1,58,,KAC/PJW
1,59,,KAC/PJW
1,61,,KAC/PJW
1,62,,KAC/PJW
1,63,,KAC/PJW
1,65,,KAC/PJW
1,84,,KAC/PJW
1,102,,KAC/PJW
1,114,,KAC/PJW
1,115,,KAC/PJW
1,117,,KAC/PJW
1,149,,KAC/PJW
1,144,,KAC/PJW
1,153,,KAC/PJW
1,157,,KAC/PJW
1,158,,KAC/PJW
1,167,,KAC/PJW
1,168,,KAC/PJW
1,170,,KAC/PJW
1,183,,KAC/PJW
1,192,,KAC/PJW
1,193,,KAC/PJW
1,194,,KAC/PJW
1,197,,KAC/PJW
1,202,,KAC/PJW
1,206,,KAC/PJW
1,215,,KAC/PJW
1,218,,KAC/PJW
1,227,,KAC/PJW
1,230,,KAC/PJW
1,235,,KAC/PJW
1,236,,KAC/PJW
1,189,,KAC/PJW
2,5,,HLW/MUP
2,6,,HLW/MUP
2,8,,HLW/MUP
2,11,,HLW/MUP
2,12,,HLW/MUP
2,13,,HLW/MUP
2,15,,HLW/MUP
2,17,,HLW/MUP
2,19,,HLW/MUP
2,21,,HLW/MUP
2,22,,HLW/MUP
2,23,,HLW/MUP
2,24,,HLW/MUP
2,25,,HLW/MUP
2,26,,HLW/MUP
2,27,,HLW/MUP
2,30,,HLW/MUP
2,32,,HLW/MUP
2,33,,HLW/MUP
2,34,,HLW/MUP
2,35,,HLW/MUP
2,36,,HLW/MUP
2,39,,HLW/MUP
2,40,,HLW/MUP
2,42,,HLW/MUP
2,45,,HLW/MUP
2,47,,HLW/MUP
2,50,,HLW/MUP
2,51,,HLW/MUP
2,52,,HLW/MUP
2,54,,HLW/MUP
2,55,,HLW/MUP
2,58,,HLW/MUP
2,59,,HLW/MUP
2,61,,HLW/MUP
2,64,,HLW/MUP
2,69,,HLW/MUP
2,71,,HLW/MUP
2,88,,HLW/MUP
2,95,,HLW/MUP
2,103,,HLW/MUP
2,115,,HLW/MUP
