SITE,PLOT,Amalgams,DBH_class,Count,BRC_number,Yr
60,13,9202039,5,1,9202039,2
60,13,9204446,5,2,9204446,2
60,13,9202039,7,1,9202039,2
60,13,9204446,8,1,9204446,2
60,14,920841,1,2,920841,2
60,14,9204526,1,4,9204526,2
60,14,9202039,1,6,9202039,2
60,14,920557,1,92,920557,2
60,14,920557,2,10,920557,2
60,14,920841,3,1,920841,2
60,14,9204442,3,1,9204442,2
60,14,9202039,3,2,9202039,2
60,14,9202039,4,2,9202039,2
60,14,9202119,5,1,9202119,2
60,14,9202039,5,2,9202039,2
60,14,9204446,6,1,9204446,2
60,14,9204446,10,1,9204446,2
60,15,9201967,1,4,9201967,2
60,15,920557,1,104,920557,2
60,15,9201960,2,1,9201960,2
60,15,9201967,2,1,9201967,2
60,15,9201967,3,1,9201967,2
60,15,9204446,6,2,9204446,2
60,15,9204446,7,1,9204446,2
60,16,920841,1,6,920841,2
60,16,920841,1,9,920841,2
60,16,920557,1,50,920557,2
60,16,920569,2,1,920569,2
60,16,9202039,2,1,9202039,2
60,16,9204445,2,4,9204445,2
60,16,920841,2,5,920841,2
60,16,9201230,2,5,9201230,2
60,16,920557,2,10,920557,2
60,16,920569,3,1,920569,2
60,16,920841,3,1,920841,2
60,16,9201230,3,1,9201230,2
60,16,920841,4,4,920841,2
60,16,920841,5,1,920841,2
66,1,920569,1,1,920569,2
66,1,920557,1,4,920557,2
66,1,920569,1,4,920569,2
66,1,920569,2,3,920569,2
66,1,920841,3,1,920841,2
66,1,92077,9,1,92077,2
66,1,920841,9,1,920841,2
66,2,92077,1,2,92077,2
66,2,920557,1,2,920557,2
66,2,200001670,1,6,200001670,2
66,2,920841,4,1,920841,2
66,2,92077,5,1,92077,2
66,2,920841,5,1,920841,2
66,2,9204446,6,1,9204446,2
66,2,9204558,7,1,9204558,2
66,3,9204446,2,1,9204446,2
66,3,9204446,3,1,9204446,2
66,3,9204446,4,1,9204446,2
66,3,9201788,5,1,9201788,2
66,3,9204446,5,1,9204446,2
66,3,92077,6,1,92077,2
66,3,9204446,6,1,9204446,2
66,4,920557,1,2,920557,2
66,4,920557,2,2,920557,2
66,4,920557,3,2,920557,2
66,4,92077,7,1,92077,2
66,4,9204446,8,1,9204446,2
66,4,9204446,10,1,9204446,2
66,5,9201023,1,4,9201023,2
66,5,920569,1,8,920569,2
66,5,920557,1,24,920557,2
66,5,92077,2,1,92077,2
66,5,920557,2,6,920557,2
66,5,9201788,3,4,9201788,2
66,5,9201788,4,3,9201788,2
66,5,9201788,5,3,9201788,2
66,5,92077,7,1,92077,2
66,5,9201788,8,1,9201788,2
66,6,920569,1,2,920569,2
66,6,9201023,1,6,9201023,2
66,6,920557,1,24,920557,2
66,6,920569,2,2,920569,2
66,6,920557,2,4,920557,2
66,6,9201023,3,1,9201023,2
66,6,9205178,3,1,9201618,2
66,6,9204446,4,2,9204446,2
66,6,9204446,5,2,9204446,2
66,6,9204446,6,1,9204446,2
66,6,920841,8,1,920841,2
66,6,9204446,8,1,9204446,2
66,6,9204446,9,2,9204446,2
66,7,9205,1,2,9205,2
66,7,920841,1,6,920841,2
66,7,920557,1,28,920557,2
66,7,9205178,2,1,9201618,2
66,7,920557,2,2,920557,2
66,7,92077,3,1,92077,2
66,7,9205178,3,1,9201618,2
66,7,920841,4,1,920841,2
66,7,9201788,4,1,9201788,2
66,7,92077,5,1,92077,2
66,7,9205178,5,1,9201618,2
66,7,920841,6,2,920841,2
66,7,920841,10,1,920841,2
66,8,920569,1,2,920569,2
66,8,9205,2,1,9205,2
66,8,920569,2,1,920569,2
66,8,9205,3,1,9205,2
66,8,920810,5,1,920810,2
66,8,920810,7,1,920810,2
66,8,920810,13,1,920810,2
66,9,92077,1,2,92077,2
66,9,92077,2,1,92077,2
66,9,920841,4,1,920841,2
66,9,92077,5,1,92077,2
66,9,920841,5,1,920841,2
66,9,920841,11,1,920841,2
66,11,92077,7,1,92077,2
66,11,92077,8,1,92077,2
66,11,920841,9,1,920841,2
66,11,92077,9,3,92077,2
66,12,920569,1,2,920569,2
66,12,920557,1,32,920557,2
66,12,92077,2,1,92077,2
66,12,920557,2,2,920557,2
66,12,920557,3,4,920557,2
66,12,92077,4,1,92077,2
66,12,9205,5,1,9205,2
66,12,92077,5,2,92077,2
66,12,92077,7,1,92077,2
66,12,92077,8,1,92077,2
66,13,9205,1,2,9205,2
66,13,9204558,1,2,9204558,2
66,13,920841,1,3,920841,2
66,13,920557,1,10,920557,2
66,14,9201611,1,2,9201611,2
66,14,200001670,1,16,200001670,2
66,14,9204558,1,46,9204558,2
66,15,9204558,1,2,9204558,2
66,15,920557,1,8,920557,2
66,15,9201023,1,8,9201023,2
66,15,920841,1,16,920841,2
66,15,9201023,2,1,9201023,2
66,15,9201023,3,2,9201023,2
66,15,9204446,24,1,9204446,2
66,16,9201023,1,1,9201023,2
66,16,920569,1,2,920569,2
66,16,920841,1,2,920841,2
66,16,9205,1,4,9205,2
66,16,920841,1,6,920841,2
66,16,920557,1,58,920557,2
66,16,9201023,2,1,9201023,2
66,16,920557,2,2,920557,2
66,16,920841,2,12,920841,2
66,16,920841,3,1,920841,2
66,16,920841,4,2,920841,2
66,16,920841,5,1,920841,2
66,16,9205,6,1,9205,2
66,16,92077,6,1,92077,2
66,16,9204446,6,1,9204446,2
66,16,920841,6,2,920841,2
66,16,92077,7,2,92077,2
72,1,9205,3,1,9205,2
72,1,9204446,4,1,9204446,2
72,1,9204446,10,1,9204446,2
72,1,9204446,11,1,9204446,2
72,1,9204446,12,1,9204446,2
72,2,9204445,3,1,9204445,2
72,2,9204445,4,2,9204445,2
72,2,9204446,6,1,9204446,2
72,2,9204446,8,2,9204446,2
72,3,9204445,3,1,9204445,2
72,3,9204446,3,1,9204446,2
72,3,9204445,4,1,9204445,2
72,3,9204445,5,1,9204445,2
