"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.16,0.495,0.4,0.57,0.355,0.455,0.375,0.545,0.695,0.59,0.605,0.71,0.475,0.54,0.45,1.12
"2",0.135,0.59,0.045,0.545,0.8,0.19,0.365,1.085,0.955,1.585,1.175,0.75,NA,0.435,1.075,0.38
"3",0.975,0.5,0.415,0.33,0.59,0.13,0.06,0.135,0.265,0.61,0.32,0.19,0.335,NA,0.31,0.305
"4",1.33,1.845,1.22,NA,0.91,1.215,0.755,0.525,0.26,0.225,NA,0.405,0.935,1.305,0.945,0.815
"5",NA,NA,0.62,0.19,0.595,NA,0.91,1.175,1.025,NA,NA,0.79,0.475,NA,0.44,0.805
"6",0.355,0.5,0.59,0.425,0.295,0.675,0.425,0.835,0.525,1.565,0.02,0.455,0.445,0.67,0.635,0.475
"7",0.38,0.655,0.43,0.475,0.585,0.815,0.31,0.925,NA,0.04,NA,0.345,NA,1.015,0.53,0.375
"8",0.345,0.59,0.235,0.63,1.85,0.315,0.205,0.39,0.545,1.37,0.885,1.185,0.32,0.9,1.045,0.72
"9",0.52,0.27,0.185,0.37,0.46,0.185,0.745,0.27,0.795,0.12,0.115,0.205,0.14,0.335,0.505,0.305
"10",0.085,0.82,0.275,0.705,0.075,0.23,0.15,0.425,0.19,0.495,0.45,0.83,0.695,0.545,0.365,0.2
"11",0.29,0.335,0.44,0.415,0.215,0.455,0.355,0.225,0.2,0.095,0.355,0.29,0.29,0.485,0.205,0.295
"12",0.67,1.035,0.8,1.01,0.705,1.015,0.475,0.43,0.63,1.285,0.505,0.86,0.815,0.845,0.485,1.1
"13",NA,NA,NA,0.69,0.605,0.835,NA,0.495,0.365,0.515,0.24,0.385,0.355,1.155,1.055,1.4
"14",0.97,0.455,0.915,0.405,0.235,0.24,0.405,0.47,0.515,0.54,0.695,0.885,0.55,0.725,0.665,0.515
"15",NA,0.03,0.245,0.245,0.39,0.16,0.265,0.29,0.39,0.38,0.435,0.385,0.28,0.24,0.25,0.15
"16",0.63,0.685,0.305,0.215,0.435,0.39,0.685,0.445,0.48,0.44,0.255,0.395,0.23,0.37,0.155,0.115
"17",0.965,1.345,1.815,0.42,0.33,0.89,0.51,0.79,0.83,0.66,0.98,0.405,0.68,1.235,NA,0.91
"18",0.91,0.85,0.42,0.34,0.675,0.345,0.47,NA,0.48,0.58,0.53,0.365,0.635,0.48,0.77,0.32
"19",0.925,0.98,0.565,0.64,0.89,0.585,0.265,0.35,0.43,0.445,0.34,0.635,0.855,0.675,0.44,0.315
"20",NA,0.415,1.195,0.29,0.505,0.945,1.37,0.965,0.225,0.29,1.47,0.22,0.32,0.525,0.64,0.97
"21",0.265,0.38,0.425,0.245,0.52,0.515,NA,0.385,0.155,0.67,0.35,0.395,0.495,0.49,0.31,0.32
"22",NA,0.435,0.25,0.375,0.25,0.45,0.39,0.21,0.56,0.445,0.68,0.29,0.385,NA,0.48,0.205
"23",0.37,0.25,0.295,1.105,0.685,0.275,0.34,0.29,0.37,0.31,0.45,1.04,0.27,0.595,0.4,0.72
"24",NA,NA,NA,NA,NA,0.485,NA,0.86,0.47,0.075,NA,NA,0.645,0.8,0.46,0.935
"25",0.53,0.615,0.36,0.325,0.65,0.93,0.505,0.645,0.91,0.5,0.975,0.66,1.94,0.59,0.625,0.725
"26",0.535,0.415,NA,0.37,0.55,0.24,0.61,0.225,NA,0.41,0.295,0.32,0.545,0.615,0.295,0.49
"27",1.5,0.72,0.505,0.43,1.175,NA,2.48,0.29,0.565,0.43,1.265,0.175,0.59,0.6,0.62,0.75
"28",0.505,0.465,0.19,0.275,0.145,0.035,0.29,0.265,0.32,0.36,0.425,0.485,0.73,0.505,0.975,0.58
"29",NA,0.12,0.21,0.285,0.125,0.285,0.32,0.115,NA,0.725,0.215,1.015,0.165,0.69,0.39,0.645
"30",0.265,0.575,0.09,0.14,0.3,0.58,0.06,0.07,0.245,0.135,0.08,0.185,0.29,NA,0.34,0.565
"31",0.915,0.71,1.245,0.89,0.17,1.365,0.24,0.15,0.91,0.77,0.795,1.235,1.745,1.68,1.69,0.81
"32",0.25,0.11,0.26,0.535,0.56,0.59,0.23,0.28,0.31,0.2,0.14,0.195,0.45,0.37,0.61,0.505
"33",0.205,0.395,0.185,0.375,0.205,0.385,0.275,0.325,0.3,0.525,0.44,0.475,0.4,0.2,0.4,0.845
"34",0.41,0.245,0.37,0.42,0.32,0.46,0.48,0.605,0.625,0.13,0.35,0.375,0.36,0.475,0.315,0.44
"35",0.33,0.41,0.44,0.15,0.385,0.345,0.31,0.255,0.155,0.16,0.42,0.21,0.32,0.305,0.17,0.7
"36",0.25,0.385,0.455,0.285,0.245,0.295,0.305,0.415,0.1,0.24,0.165,0.415,0.13,0.33,0.295,NA
"37",0.165,0.305,0.08,0.035,0.31,0.15,0.08,0.04,0.2,0.37,0.22,0.655,0.29,0.31,0.36,0.36
"38",0.13,0.295,0.34,0.485,0.345,0.495,0.32,0.365,NA,0.115,0.25,0.19,0.295,0.835,0.615,0.465
"39",0.325,0.04,NA,NA,0.11,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.805,0.065,0.155,0.135,0.83,0.175,0.03,0.425,0.215,0.555,0.83,0.525,0.51,0.16,0.255,0.4
"41",0.355,0.315,0.225,0.31,0.125,0.485,0.38,0.54,0.235,0.37,0.365,0.41,0.325,0.28,0.35,0.47
"42",NA,0.05,0.22,0.135,0.305,0.22,0.08,0.365,0.18,0.09,0.48,0.71,0.085,0.19,0.36,0.11
"43",0.07,NA,0.035,NA,NA,0.11,0.13,0.21,0.095,NA,NA,0.22,0.01,0.085,0.035,0.285
