BRC names,BRC number
Grass sp.,26
Lamium/glechoma seedling,28
Riccardia/aneura sp.,29
Acanthus mollis,9202
Acer campestre,9203
Acer platanoides,9204
Acer pseudoplatanus,9205
Aceras anthropophorum,9206
Achillea millefolium,9207
Achillea ptarmica,9209
Adiantum capillus-veneris,91017
Clinopodium acinos,92012
Aconitum napellus,92014
Acorus calamus,92015
Actaea spicata,92016
Adonis annua,92018
Adoxa moschatellina,92019
Aegopodium podagraria,92020
Aethusa cynapium,92021
Agrimonia eupatoria,92022
Agrimonia procera,92023
Aremonia agrimonioides,92024
Agrostis stolonifera x Polypogon monspeliensis (x Agropogon littoralis),92025
Elytrigia juncea,92028
Elytrigia atherica x juncea (E. x obtusiuscula),92029
Elytrigia atherica,92032
Elytrigia repens,92033
Agrostemma githago,92034
Agrostis canina sens.lat.,92035
Agrostis vinealis,92035.1
Agrostis canina sens.str.,92035.2
Agrostis gigantea,92036
Agrostis curtisii,92038
Agrostis stolonifera,92039
Agrostis capillaris,92040
Aira caryophyllea,92041
Aira praecox,92042
Ajuga chamaepitys,92043
Ajuga pyramidalis,92045
Ajuga reptans,92046
Alchemilla acutiloba,92047
Alchemilla alpina,92048
Alchemilla conjuncta,92049
Alchemilla filicaulis subsp.filicaulis,92050
Alchemilla glabra,92051
Alchemilla glomerulans,92052
Alchemilla minima,92053
Alchemilla glaucescens,92054
Alchemilla monticola,92055
Alchemilla subcrenata,92056
Alchemilla vulgaris agg.,92058
Alchemilla wichurae,92059
Alchemilla xanthochlora,92060
Alisma gramineum,92061
Alisma lanceolatum,92062
Alisma plantago-aquatica,92063
Alliaria petiolata,92064
Allium ampeloprasum ssp ampeloprasum,92065
Allium ampeloprasum babingtonii,92066
Allium carinatum,92067
Allium oleraceum,92068
Allium paradoxum,92069
Allium roseum,92070
Allium scorodoprasum,92071
Allium schoenoprasum,92072
Allium sphaerocephalon,92073
Allium triquetrum,92074
Allium ursinum,92075
Allium vineale,92076
Alnus glutinosa,92077
Alnus incana,92078
Alopecurus aequalis,92079
Alopecurus borealis,92080
Alopecurus bulbosus,92081
Alopecurus geniculatus,92082
Alopecurus myosuroides,92084
Alopecurus pratensis,92085
Althaea officinalis,92087
Alcea rosea,92088
Amaranthus albus,92090
Amaranthus retroflexus,92092
Amelanchier lamarckii,92094
Ammophila arenaria x Calamagrostis epigejos (x Calammophila baltica),92096
Ammophila arenaria,92097
Anacamptis pyramidalis,92098
Anagallis arvensis,92099
Anagallis arvensis subsp.caerulea,92099.2
Anogramma leptophylla,910115
Asplenium adiantum-nigrum,910185.1
Asplenium onopteris,910185.2
Asplenium marinum,910189
Asplenium obovatum,910191
Asplenium ruta-muraria,910192
Asplenium septentrionale,910193
Asplenium trichomanes,910194
Asplenium trichomanes-ramosum,910195
Athyrium distentifolium,910210
Athyrium flexile,910210.1
Athyrium filix-femina,910211
Azolla filiculoides,910223
Blechnum spicant,910244
Botrychium lunaria,910248
Ceterach officinarum,910473
Cryptogramma crispa,910586
Cystopteris dickieana,910602
Cystopteris fragilis,910603
Cystopteris montana,910604
Dryopteris oreades,910659
Dryopteris aemula,910660
Dryopteris dilatata,910661
Dryopteris affinis,910662
Dryopteris cristata,910663
Dryopteris filix-mas,910665
Dryopteris carthusiana,910666
Dryopteris submontana,910667
Equisetum arvense,910712
Equisetum fluviatile,910713
Equisetum hyemale,910714
Equisetum arvense x fluviatile (E. x litorale),910715
Equisetum hyemale x ramosissimum (E. x moorei),910716
Equisetum palustre,910717
Equisetum pratense,910718
Equisetum ramosissimum,910719
Equisetum sylvaticum,910720
Equisetum telmateia,910721
Equisetum hyemale x variegatum (E. x trachyodon),910722
Equisetum variegatum,910723
Anagallis tenella,920100
Anaphalis margaritacea,920101
Andromeda polifolia,920103
Anemone nemorosa,920105
Pulsatilla vulgaris,920106
Angelica archangelica,920108
Angelica sylvestris,920109
Anisantha diandra,920110
Anisantha madritensis,920111
Anisantha rigida,920112
Anisantha sterilis,920113
Anisantha tectorum,920114
Antennaria dioica,920116
Anthemis arvensis,920117
Anthemis cotula,920118
Chamaemelum nobile,920119
Anthemis tinctoria,920120
Anthoxanthum odoratum,920121
Anthoxanthum aristatum,920122
Anthriscus caucalis,920123
Anthriscus cerefolium,920124
Anthriscus sylvestris,920125
Anthyllis vulneraria,920126
Antirrhinum majus,920127
Misopates orontium,920128
Apera interrupta,920129
Apera spica-venti,920130
Aphanes arvensis agg.,920131
Aphanes arvensis sens.str.,920132
Aphanes inexspectata,920133
Apium graveolens,920134
Apium inundatum,920135
Apium nodiflorum,920137
Apium repens,920138
Aponogeton distachyos,920139
Aquilegia vulgaris,920141
Arabidopsis thaliana,920142
Arabis alpina,920143
Arabis hirsuta,920146
Arabis scabra,920147
Arabis turrita,920148
Arbutus unedo,920149
Arctium agg.,920150
Arctium lappa,920151
Arctium minus subsp.nemorosum,920153
Arctium minus subsp.pubens,920154
Arctostaphylos uva-ursi,920155
Arctostaphylos alpinus,920156
Arenaria balearica,920157
Arenaria ciliata,920158
Arenaria norvegica subsp.norvegica,920160
Arenaria serpyllifolia,920162
Arenaria serpyllifolia subsp.leptoclados,920163
Aristolochia clematitis,920164
Armeria arenaria,920165
Armeria maritima,920166
Armoracia rusticana,920167
Arnoseris minima,920168
Arrhenatherum elatius,920169
Artemisia absinthium,920170
Artemisia campestris,920171
Seriphidium maritimum,920172
Artemisia stelleriana,920173
Artemisia verlotiorum,920174
Artemisia vulgaris,920175
Arum maculatum,920176
Arum italicum,920177
Asarum europaeum,920178
Asparagus officinalis,920179
Asparagus officinalis subsp.officinalis,920179.1
Asparagus officinalis subsp.prostratus,920179.2
Asperugo procumbens,920180
Galium odoratum,920183
Aster laevis,920196
Aster lanceolatus,920197
Aster schreberi,920199
Aster novae-angliae,920200
Aster agg.,920201
Aster puniceus,920202
Aster lanceolatus x novi-belgii (A. x salignus),920203
Aster tripolium,920204
Aster tripolium var. discoideus,920204.1
Aster laevis x novi-belgii (A. x versicolor),920205
Astragalus alpinus,920206
Astragalus danicus,920207
Astragalus glycyphyllos,920208
Astrantia major,920209
Atriplex glabriuscula,920212
Atriplex hortensis,920215
Atriplex laciniata,920216
Atriplex littoralis,920217
Atriplex patula,920218
Atropa belladonna,920219
Avena fatua,920220
Avena sterilis ludoviciana,920221
Avena strigosa,920222
Baldellia ranunculoides,920224
Ballota nigra,920225
Barbarea intermedia,920226
Barbarea stricta,920227
Barbarea verna,920228
Barbarea vulgaris,920229
Bartsia alpina,920230
Bellis perennis,920231
Berberis vulgaris,920232
Berteroa incana,920233
Berula erecta,920234
Beta vulgaris,920235
Beta vulgaris subsp.maritima,920235.1
Beet (cultivated),920235.2
Stachys officinalis,920237
Betula nana,920238
Betula pendula,920239
Betula pubescens,920240
Betula pubescens subsp.tortuosa,920240.1
Bidens cernua,920241
Bidens tripartita,920242
Blackstonia perfoliata,920243
Blysmus compressus,920245
Blysmus rufus,920246
Borago officinalis,920247
Brachypodium pinnatum,920249
Brachypodium sylvaticum,920250
Brassica napus,920251
Oil seed rape,920251.1
Brassica nigra,920252
Brassica oleracea (cultivated),920253
Brassica rapa,920254
Briza maxima,920255
Briza media,920256
Briza minor,920257
Bromus arvensis,920258
Bromopsis benekenii,920259
Ceratochloa carinata,920260
Bromus commutatus,920262
Bromopsis erecta,920263
Bromus hordeaceus subsp.ferronii,920264
Bromopsis inermis,920265
Bromus interruptus,920266
Bromus lepidus,920268
Bromus hordeaceus,920269
