Species,LeafLength,LeafWidth,WidestPoint,Angle,LeafRatio,WidestPercent,Lobing,Veins,FruitLength,FruitWidth,FruitRatio
Anglica,102,68,53,40,1.50,0.52,0.21,18,8,9,0.89
Anglica,68,44,35,43,1.55,0.51,0.10,17,8,8,1.00
Anglica,90,60,38,43,1.50,0.42,0.20,19,9.5,10,0.95
Anglica,88,53,45,38,1.66,0.51,0.18,17,8,10,0.80
Anglica,75,49,42,38,1.53,0.56,0.29,19,9,9,1.00
Anglica,75,49,43,32,1.53,0.57,0.18,17,9,9,1.00
Anglica,76,51,38,38,1.49,0.50,0.18,18,9,8,1.13
Anglica,127,84,60,32,1.51,0.47,0.22,17,10.5,10,1.05
Anglica,105,88,58,35,1.19,0.55,0.16,18,9.5,10,0.95
Anglica,88,70,47,42,1.26,0.53,0.31,14,9,10,0.90
Anglica,105,70,62,32,1.50,0.59,0.33,19,10.8,10.2,1.059
Anglica,102,64,58,37,1.59,0.57,0.35,18,10.4,10.4,1.000
Anglica,97,80,57,38,1.21,0.59,0.21,17,10.6,11,0.964
Anglica,101,75,58,32,1.35,0.57,0.25,20,10,10.2,0.980
Anglica,102,73,57,38,1.40,0.56,0.15,21,9.6,9.8,0.980
Anglica,82,57,47,32,1.44,0.57,0.23,16,11,11.8,0.932
Anglica,104,70,56,35,1.49,0.54,0.21,21,10.6,10.8,0.981
Anglica,98,74,56,37,1.32,0.57,0.23,18,10.6,10.4,1.019
Anglica,106,78,60,37,1.36,0.57,0.30,20,10.6,10.4,1.019
Anglica,104,80,50,40,1.30,0.48,0.26,20,11,10.4,1.058
Anglica,98,73,50,37,1.34,0.51,0.24,19,11.6,11.4,1.018
Anglica,97,68,30,37,1.43,0.31,0.27,20,12,10.8,1.111
Anglica,105,73,58,34,1.44,0.55,0.42,20,12,12.2,0.984
Anglica,110,68,50,40,1.62,0.45,0.25,21,12.6,11.6,1.086
Anglica,91,65,48,40,1.40,0.53,0.29,18,11.2,11.4,0.982
Anglica,90,68,45,40,1.32,0.50,0.33,17,11.6,11.4,1.018
Anglica,85,65,43,42,1.31,0.51,0.27,17,12,10.8,1.111
Anglica,82,64,45,42,1.28,0.55,0.38,16,12,12.2,0.984
Anglica,75,64,32,45,1.17,0.43,0.21,13,12.6,11.6,1.086
Anglica,88,65,45,42,1.35,0.51,0.25,18,11.2,11.4,0.982
