"","Feature","F","p","r2"
"1","LeafLength",42.4939318178206,1.9057509191109e-39,0.406016518471553
"2","LeafWidth",83.4871631627214,6.40148272532042e-66,0.573188932007584
"3","WidestPoint",30.326764134997,1.27942838888194e-29,0.327880195081395
"4","Angle",22.5661099093673,1.0659774608511e-22,0.266320906988311
"5","LeafRatio",99.0224780334058,4.54308417951547e-74,0.614324731467858
"6","WidestPercent",5.2947266499997,2.95650697006903e-05,0.0784852845411309
"7","Lobing",58.1560898277945,1.36256898274219e-50,0.483334088431323
"8","Veins",42.2626598469676,2.8606314082669e-39,0.404701066816223
"9","FruitLength",45.222753217812,1.68504378849652e-41,0.421109949811248
"10","FruitWidth",42.0833528356872,3.92176509336748e-39,0.403677169909182
"11","FruitRatio",57.0523286271236,7.45155734694729e-50,0.478550657858926
