"","Type of feeding interaction","Predator Lifestage","Location","Y intercept","Slope","F Value","P Value","R^2 Value"
"1","insectivorous","larva / juvenile","Strait of Georgia",-3.46,81.16,49.2088780154159,8.51926669047012e-08,0.621254577117463
"2","piscivorous","adult","Apalachicola Bay, Florida",2542.5,33.1,12.8630019554008,0.000561879679057595,0.132795821890007
"3","piscivorous","adult","Atlantic Ocean",1781.93,4.86,935.348840164231,3.20607848899496e-197,0.0784205151286024
"4","piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",235740.55,20.9,6.20424172904769,0.0151192023605774,0.0814159630523919
"5","piscivorous","adult","Eastern Mediterranean",167.83,2.1,68.1666439923475,1.81489474211433e-13,0.352890346819133
"6","piscivorous","adult","Europe, Celtic Sea ecosystem",791.83,12.99,518.676900682364,9.78120093068276e-103,0.198903821461407
"7","piscivorous","adult","French Polynesian EEZ",21176.99,-1.65,0.294767014919708,0.587246178185151,0.000156849803497244
"8","piscivorous","adult","Great Channel South, Gulf of Maine, New England",107597.25,125.17,102.579704197178,1.22274146393267e-22,0.123951449844567
"9","piscivorous","adult","Great South Bay, Long Island, New York",14.56,5.45,130.784341694212,2.58826202946324e-25,0.30716099416389
"10","piscivorous","adult","Gulf of Maine, New England",276034.96,-307.33,1.80094717937862,0.18344240447847,0.0222886889602978
"11","piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",147760.02,30.11,2.33255880128091,0.127510327789256,0.00599117322338166
"12","piscivorous","adult","Mid Atlantic",64.64,5.54,13.6097287305854,0.000430350550393747,0.157138567803634
"13","piscivorous","adult","Off the Bay of Biscay",88678.71,120.76,90.6462451930186,2.70482591554995e-19,0.202948633663864
"14","piscivorous","adult","South of Marthas Vineyard, New England",80233.34,1527.79,0.335819695828037,0.571460155763787,0.0234252175985282
"15","piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England",192892.58,62.67,19.5074689483582,1.2271984869739e-05,0.0372630193558566
"16","piscivorous","juvenile","Apalachicola Bay, Florida",4602.37,31,1.62355242813778,0.213455733514303,0.0567208571407711
"17","piscivorous","juvenile","Off the Bay of Biscay",5560,0,70.3155471929145,7.6945782289121e-17,0.499991796105687
"18","piscivorous","juvenile","W Greenland",0.09,6.54,25.4978644679396,7.11822392025366e-05,0.573013216989562
"19","piscivorous","larva / juvenile","Strait of Georgia",9.86,172.51,2.72353678574573,0.133275952079355,0.232313578702393
"20","piscivorous","postlarva","Antarctic Peninsula",0.04,0.58,47.6289430356757,9.72722953165703e-08,0.605743142370175
"21","piscivorous","postlarva/juvenile","Antarctic Peninsula",1.28,NA,NA,NA,0
"22","planktivorous","adult","Eastern Mediterranean",2.36,49.68,0.101103972134957,0.75416813649542,0.00558551413718179
"23","planktivorous","adult","French Polynesian EEZ",31783.88,2.1,0.000781078246370258,0.977744771607622,5.74318941536718e-06
